DstIp,DstPort,Game,Proto,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd
,,Clash Royale,,,,163,1,1
,,Clash Royale,,,,86,1,1
,,Clash Royale,,,,5947,12,12
,,Clash Royale,,supercell.helpshift.com,69,293,1,1
,,Clash Royale,,supercell.helpshift.com,69,197,1,1
,,Clash Royale,,supercell.helpshift.com,1879,6944,12,13
,,Clash Royale,,game.clashroyaleapp.com,69,147,1,1
,,Clash Royale,,game.clashroyaleapp.com,69,149,1,1
ec2-35-163-0-0.us-west-2.compute.amazonaws.com,9339,Clash Royale,TLS,game.clashroyaleapp.com,9298,244968,141,214
,,Clash Royale,,id.supercell.com,62,140,1,1
,,Clash Royale,,id.supercell.com,62,126,1,1
,,Clash Royale,,id.supercell.com,4346,39001,37,38
,,Clash Royale,,inbox-production.esports.clashroyale.com,86,168,1,1
,,Clash Royale,,inbox-production.esports.clashroyale.com,86,150,1,1
,,Clash Royale,,inbox-production.esports.clashroyale.com,1348,7449,12,13
,,Clash Royale,,inbox.clashroyale.com,67,151,1,1
,,Clash Royale,,inbox.clashroyale.com,67,131,1,1
,,Clash Royale,,inbox.clashroyale.com,1339,7222,12,13
,,Clash Royale,,inbox.clashroyale.com,1326,7283,12,13
ec2-35-163-0-0.us-west-2.compute.amazonaws.com,9339,Clash Royale,TCP,game.clashroyaleapp.com,11840,292467,202,274
,,Clash Royale,,inbox-production.esports.clashroyale.com,86,150,1,1
,,Clash Royale,,event-assets.clashroyale.com,74,158,1,1
,,Clash Royale,,inbox-production.esports.clashroyale.com,1388,7489,13,14
,,Clash Royale,,event-assets.clashroyale.com,74,138,1,1
,,Clash Royale,,event-assets.clashroyale.com,12736,681618,296,471
,,Clash Royale,,inbox.clashroyale.com,67,131,1,1
,,Clash Royale,,inbox.clashroyale.com,1339,7223,12,13
,,Clash Royale,,inbox.clashroyale.com,1366,7323,13,14
